exp_id,mode,pillar,seed,model_id,prompt_id,collapse_run,collapse_reason,core_collapse_run,core_collapse_reason,budget_exhausted,collapse_core,collapse_core_reason,stop_aux,stop_aux_reason,intervene_bin,n_tokens_total,n_interventions,intervene_density,H_pre,runtime_sec,extra_tokens_due_to_intervention
vNEXT-RE30,controlled,HUM,28,gpt2,28,0,NONE,0,NONE,0,0,NONE,0,NONE,1,533,58,0.10881801125703565,51.0,38.53205919265747,76.0
vNEXT-RE30,controlled,HUM,29,gpt2,29,0,NONE,0,NONE,0,0,NONE,0,NONE,1,532,54,0.10150375939849623,48.0,38.27594804763794,94.0
vNEXT-RE30,baseline,META,0,gpt2,0,1,REP,1,REP,0,1,REP,0,NONE,0,93,0,0.0,,3.505391836166382,0.0
vNEXT-RE30,baseline,META,1,gpt2,1,1,REP,1,REP,0,1,REP,0,NONE,0,118,0,0.0,,4.614341974258423,0.0
vNEXT-RE30,baseline,META,2,gpt2,2,1,REP,1,REP,0,1,REP,0,NONE,0,170,0,0.0,,8.002271890640259,0.0
vNEXT-RE30,baseline,META,3,gpt2,3,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,68,0,0.0,,2.194709300994873,0.0
vNEXT-RE30,baseline,META,4,gpt2,4,1,REP,1,REP,0,1,REP,0,NONE,0,88,0,0.0,,3.111884117126465,0.0
vNEXT-RE30,baseline,META,5,gpt2,5,0,NONE,0,NONE,0,0,NONE,0,NONE,0,115,0,0.0,,4.6128480434417725,0.0
vNEXT-RE30,baseline,META,6,gpt2,6,1,REP,1,REP,0,1,REP,0,NONE,0,167,0,0.0,,8.009438037872314,0.0
vNEXT-RE30,baseline,META,7,gpt2,7,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,73,0,0.0,,2.7210309505462646,0.0
vNEXT-RE30,baseline,META,8,gpt2,8,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,75,0,0.0,,2.48681378364563,0.0
vNEXT-RE30,baseline,META,9,gpt2,9,1,REP,1,REP,0,1,REP,0,NONE,0,90,0,0.0,,3.3419029712677,0.0
vNEXT-RE30,baseline,META,10,gpt2,10,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,70,0,0.0,,2.1849100589752197,0.0
vNEXT-RE30,baseline,META,11,gpt2,11,1,TOO_SHORT,0,NONE,0,0,NONE,1,TOO_SHORT,0,70,0,0.0,,2.094909906387329,0.0
